Unique_ID,Year,Year_range,Short_title,Description,City/County,State,Country,Entity,Entity_type,Recipient,Recipient_type,Reparations_type,Amount,Amount_type,Harm_addressed,Status,Legal_basis,Tags,Source,Source_URL,Source2,Source2_URL,Related_entries,Notes,Suggested_citation,🔐 Softr Record ID
USA-2022-01,2022,2020–2025,California church offers home loans,"Arlington Community Church in Kensington, California, a predominantly white congregation of the United Church of Christ, established the Black Wealth Builders Fund to offer zero-interest loans to Black residents for a down payment on purchasing their first home. The fund is intended to rectify lower levels of ownership among Black residents due to historical redlining (mortgage discrimination).",Kensington,California,United States,Arlington Community Church,Religious institution,African Americans,Individuals,Other fund,,,Housing discrimination,Ongoing,Institutional policy,African Americans; housing program; institutional discrimination; monetary compensation; religious institution,"Nguyen, F. (2022, December 23). A California church attempts reparations for historic redlining of Black homebuyers. Religion News Service.",https://religionnews.com/2022/12/23/a-california-church-attempts-reparations-for-historic-redlining-of-black-homebuyers/,,,,,"""California church offers home loans (2022)"". Reparations History, https://reparationshistory.org.",C2h9dzkTzzReTWouxKqoFn
USA-2021-11,2021,2020–2025,Amherst establishes reparations fund,"The town council of Amherst, Massachusetts voted to establish a reparations fund that will begin with a $210,000 special appropriation and accept contributions from local organizations. The town also approved the establishment of the African Heritage Reparations Assembly to develop the reparations plan.",Amherst,Massachusetts,United States,City of Amherst,"Government, municipal/county",African Americans,Community,Other,"$210,000.00",,Slavery,In Progress,City/county ordinance,African Americans; commission/study; local government; monetary compensation,"Merzbach, S. (2021, June 23). Amherst council establishes reparations fund. Daily Hampshire Gazette.",https://web.archive.org/web/20230711034357/https://www.gazettenet.com/Amherst-Town-Council-establishes-reparations-fund-41095651,,,USA-2023-06,,"""Amherst establishes reparations fund (2021)"". Reparations History, https://reparationshistory.org.",2zXEMSwVT6bpQMv7pzZuoF
USA-2022-06,2022,2020–2025,Easthampton backs federal reparations bill,"The city council of Easthampton, Massachusetts unanimously passed a resolution to support Congressional bill H.R. 40, which proposes to create a commission to study reparations for African Americans.",Easthampton,Massachusetts,United States,City of Amherst,"Government, municipal/county",African Americans,Community,Other,,,Slavery,Completed,City/county ordinance,African Americans; commission/study; federal government; legislation; local government; resolution,"Thurlow, E. (2022, December 11). Easthampton backs federal bill to examine slavery, discrimination from 1619-present. Daily Hampshire Gazette.",https://www.gazettenet.com/Easthampton-council-passes-resolution-in-support-of-state-s-commission-work-on-reparations-49115233,,,,,"""Easthampton backs federal reparations bill (2022)"". Reparations History, https://reparationshistory.org.",84HwEf7NykHq6Vk1ydX86E
USA-2023-06,2023,2020–2025,Amherst funds $2 million reparations,"The town of Amherst, Massachusetts has provided a $2 million endowment fund for reparations, coming from tax proceeds of cannabis sales. The African Heritage Reparation Assembly issued a report with recommendations on how the funding is to be spent.",Amherst,Massachusetts,United States,City of Amherst,"Government, municipal/county",African Americans,Community,Other fund,"$2,000,000.00",,Other,In Progress,City/county ordinance,African Americans; commission/study; court case; local government; monetary compensation; private initiative,"Casey, M. (2023, October 16). Slavery reparations in Amherst Massachusetts could include funding for youth programs and housing. AP News.",https://apnews.com/article/amherst-slavery-reparations-black-massachusetts-31f9e6eb90d7236dd6b4a7bcea2fb8e1,,,USA-2021-11,,"""Amherst funds $2 million reparations (2023)"". Reparations History, https://reparationshistory.org.",4xxmcdYM5zKTGNEuP4zdK9
USA-2020-07,2020,2020–2025,Asheville approves Black community reparations,"The city of Asheville, North Carolina, voted to give reparations to its black residents, in the form of a public apology and investing in black communities.",Asheville,North Carolina,United States,City of Asheville,"Government, municipal/county",African Americans,Individuals,"Infrastructure, Apology",,,Slavery,In Progress,City/county ordinance,African Americans; apology; local government,"Branigin, A. (2020, July 15). A liberal North Carolina town has unanimously voted to give its black residents reparations. The Root.",https://www.theroot.com/a-liberal-north-carolina-town-has-unanimously-voted-to-1844389058,,,,,"""Asheville approves Black community reparations (2020)"". Reparations History, https://reparationshistory.org.",S67jDeZduNX1GNFo9tHiZ4
USA-2022-05,2022,2020–2025,Boston creates reparations task force,"The city council of Boston, Massachusetts, voted to create a task force to study slavery and its contribution to wealth and other inequality in the region.",Boston,Massachusetts,United States,City of Boston,"Government, municipal/county",African Americans,Community,Other,,,"Slavery, Economic discrimination, Other",In Progress,City/county ordinance,African Americans; commission/study; local government; slavery,"Casey, M. (2022, December 14). Boston City Council votes to study reparations for Black Bostonians. Boston.Com.",https://www.boston.com/news/local-news/2022/12/14/boston-city-council-votes-to-study-reparations-for-black-bostonians/,,,,,"""Boston creates reparations task force (2022)"". Reparations History, https://reparationshistory.org.",J8ZQL4FWg2WPrBDrHEgjWJ
USA-2020-04,2020,2020–2025,Burlington studies slavery reparations,"The city council of Burlington, Vermont, voted in a resolution to create a task force to study possible reparations for the state's involvement in the slave trade. A Racial Justice Fund was created to fund the work of the task force. This resolution follows the Resolution Relating to Racial Justice Through Economic and Criminal Justice which was passed in June.",Burlington,Vermont,United States,City of Burlington,"Government, municipal/county",African Americans,Community,Other,,,Slavery,In Progress,City/county ordinance,African Americans; commission/study; legislation; local government; monetary compensation; resolution; slavery,"Burlington City Council votes unanimously to pass a historical reparations resolution to study reparations for Vermont's role in chattel slavery (Press release). (2020, August 11). VTDigger.",https://web.archive.org/web/20220223224436/https://vtdigger.org/press_release/burlington-city-council-votes-unanimously-to-pass-a-historical-reparations-resolution-to-study-reparations-for-vermonts-role-in-chattel-slavery/,,,,,"""Burlington studies slavery reparations (2020)"". Reparations History, https://reparationshistory.org.",RWmqhdBMdd9y9ftmsdJFSK
USA-2015-01,2015,2010–2019,Chicago approves police torture reparations,"The City of Chicago signed into law an ordinance granting cash payments, free college education, and a range of social services to 57 living survivors of police torture (Burge Reparations). Explicitly defined as reparations, which totaled $5.5 million, the ordinance includes a formal apology from Mayor Rahm Emanuel and a mandate to teach the broader public about the torture through a memorial and public school curriculum.",Chicago,Illinois,United States,City of Chicago,"Government, state",Victims of police torture,Individuals,"Other, Services, Direct payment","$5,500,000.00",,Police violence,Completed,City/county ordinance,apology; education/scholarship; educational institution; executive action; human rights violation; legislation; local government; memorial; monetary compensation; police violence survivors,"Macaraeg, S., & Kunichoff, Y. (2017, March 21). How Chicago became the first city to make reparations to victims of police violence. YES! Magazine.",https://www.yesmagazine.org/issue/science/2017/03/21/how-chicago-became-the-first-city-to-make-reparations-to-victims-of-police-violence,"Henry, C. P. (2007). Long overdue: The politics of racial reparations. NYU Press.",,USA-2024-06,,"""Chicago approves police torture reparations (2015)"". Reparations History, https://reparationshistory.org.",3dZAQGrTp7bAzaV1rjJy9B
USA-2024-06,2024,2020–2025,Chicago launches reparations task force,"The mayor of Chicago, Illinois, has signed an executive order to create a task force to study and define reparations, identify areas for redress, and make recommendations for remedies and restitution.",Chicago,Illinois,United States,City of Chicago,"Government, municipal/county",African Americans,Community,Other,,,Other,In Progress,Executive order,commission/study; executive action; local government,"Mayor Brandon Johnson signs historic executive order to launch Black reparations task force and agenda (Press release). (2024, June 17). Government of Chicago.",https://www.chicago.gov/content/city/en/depts/mayor/press_room/press_releases/2024/june/black-reparations-task-force.html,,,USA-2015-01,,"""Chicago launches reparations task force (2024)"". Reparations History, https://reparationshistory.org.",JxFFE1Q4VQViBffJTBBxKV
USA-2025-03,2025,2020–2025,Decatur reparations task force,"The city council of Decatur, Georgia, unanimously passed a resolution to create a Reparations Task Force to study the city's history of slavery, segregation, and economic disenfranchisement of its African American citizens, and recommend policy actions. The resolution also included an acknowledgement of past injustices and an official apology.",Decatur,Georgia,United States,City of Decatur,"Government, municipal/county",African Americans,Community,"Apology, Other",,,"Slavery, Jim Crow / segregation, Economic discrimination, Forced sterilization",In Progress,City/county ordinance,African Americans; apology; commission/study; institutional discrimination; legislation; local government; resolution; segregation; slavery,"Raby, D. (2025, May 6). Decatur approves reparations task force, apologizes to Black residents. FOX 5 Atlanta.",https://www.fox5atlanta.com/news/decatur-reparations-task-force-apology-black-residents,,,,,"""Decatur reparations task force (2025)"". Reparations History, https://reparationshistory.org.",C6LNevjMX3aJaN8RSDN12T
